"URL","Institution Name","Index Herbariorum Record","Institution Code","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium","Incorporated Herbaria","Serials published by Institution"
"http://grbio.org/institution/academy-natural-sciences-botany-department","Academy of Natural Sciences, Botany Department","Yes","PH<IH>","Herbarium","","http://www.ansp.org/research/biodiv/botany/","","","urn:lsid:biocol.org:col:15723","http://biocol.org/urn:lsid:biocol.org:col:15723","Active","","Herbarium","Updated Aug 2011 (new staff). PH is the oldest institutional herbarium in U.S. It is a national resource for material from 1750-1850, with some dating from as early as 1689. Some historical material restricted; write for information. Microfiche edition and index of presently segregated types and early authentication specimens of vascular plants as well as Barton and Muhlenberg herbaria available.","Botany Department","1900 Benjamin Franklin Parkway","","Philadelphia","Pennsylvania","19103","USA","Logan Square.","","","PHILADELPHIA","Pennsylvania","19103","USA","Alina Freire-Fierro","US 044","1812","Extensive worldwide 18th and early 19th century collections, including 60 000 types; Asian-Malesian-Pacific and Australasian regions, especially peninsular Malaysia; all groups, especially Pandanaceae, Rutaceae, Cyperaceae, Polemoniaceae, and Scrophulariaceae; strong local herbarium covering southeastern Pennsylvania, southern New Jersey, northern Delaware, and northeastern Maryland; important historical collection of macrofossils, including 200 types; historical collections of bryophytes, fungi, and algae; world-renowned diatom collection.","","1430000","PENN (250 000 specimens) in 1974.; American Philosophical Society in 1897.","Special Publication, Academy of Natural Sciences of Philadelphia.; Notulae Naturae of the Academy of Natural Sciences of Philadelphia.; Bartonia (publication of the Philadelphia Botanical Club).; Monograph, Academy of Natural Sciences of Philadelphia.; Proceedings of the Academy of Natural Sciences of Philadelphia."
"http://grbio.org/institution/aging-tissue-bank","Aging Tissue Bank","No","ATB","","","http://aging.pharm.pusan.ac.kr/atb/index.html","","","","http://grbio.org/cool/ccqe-swbb","Active","","University or college","AGING TISSUE BANK, one of the Korean National Research Resource Bank, retains a number of accessions and a wide range of collection of animal tissue useful for Aging Research. Aging Tissue Bank has been established on September in 2000, which is supported by KOSEF and MOST. The purpose is collections, preservation and distribution to age-related researchers.","30 Jangjeon-dong, Geumjeong-gu","","","Busan","Busan","609-735","South Korea","30 Jangjeon-dong, Geumjeong-gu","","","Busan","Busan","609-735","South Korea","Hae Young Chung","","","","","","",""
"http://grbio.org/institution/agricultural-scientific-collections-unit","Agricultural Scientific Collections Unit","No","ASCU","","","http://www.dpi.nsw.gov.au/aboutus/services/collections/insects","","","","http://grbio.org/cool/r09q-tgas","Active","Public, Other","Museum","Collection of insects and mites of agricultural and horticultural importance in New South Wales, and comparative reference material. Alternative contact: Mr Peter Gillespie, Collection Manager (ph: 61 02 6391 3986)","Orange Agricultural Institute","Forest Road","","Orange","New South Wales,","2800","Australia","Orange Agricultural Institute","Forest Road","","Orange","New South Wales,","2800","Australia","Peter Gillespie","AU073","","","","","",""
"http://grbio.org/institution/agriculture-and-agri-food-canada-potato-research-station","Agriculture and Agri-Food Canada Potato Research Station","No","AAFC-PRC","","","http://www.agr.gc.ca/science/fredericton/index_e.htm","","","","http://grbio.org/cool/9bq7-wm5s","Active","","","Insect collection specializing in potato crop pests","Agriculture and Agri-Food Canada/Agriculture et Agroalimentaire Canada","Potato Research Centre","850 Lincoln Rd.","Fredericton","New Brunswick","E3B 4Z7","Canada","Agriculture and Agri-Food Canada/Agriculture et Agroalimentaire Canada","Potato Research Centre","850 Lincoln Rd.","Fredericton","New Brunswick","E3B 4Z7","Canada","Dr. Yvan Pelletier","","","","","","",""
"http://grbio.org/institution/agriculture-and-agri-food-canada-kamloop-bc","Agriculture and Agri-Food Canada, Kamloop, BC","Yes","ACK<IH>","Herbarium","","","","","urn:lsid:biocol.org:col:12558","http://biocol.org/urn:lsid:biocol.org:col:12558","Active","","Herbarium","Updated Aug 2011 (contact info, correspondent change).","Grassland Applied Technology Centre","3015 Ord Road","","Kamloops","British Columbia","V2B 8A9","Canada","Range Research Unit","3015 Ord Road","","KAMLOOPS","British Columbia","V2B 8A9","Canada","Barbara Brooke","","1936","Vascular plants of British Columbia grasslands and forested rangelands.","","3000","",""
"http://grbio.org/institution/algensammlung-am-institut-fur-botanik","Algensammlung am Institut fur Botanik","No","ASIB","","","http://botany.uibk.ac.at/","","","","http://grbio.org/cool/9kvr-7wsm","Active","","","Algae Collection Institute of Botany at the University of Innsbruck. Specialities: we cultivate only aeroterrestrial algae (soil-, airborne-and lichen algae); Loan policy: strains available for scientific use free, for commercial use costs between 10 and 20$ per strain; ASIB keeps all specimens in a single collection with a single numbering system, there are no sub-collections with a parallel numbering system.","Sternwartestrasse 15, Innsbruck, A-6020","","","Innsbruck","Tyrol","6020","Austria","Sternwartestrasse 15, Innsbruck, A-6020","","","Innsbruck","Tyrol","6020","Austria","Professor G. Gaertner","","","","","","",""
"http://grbio.org/institution/angelo-state-natural-history-collection","Angelo State Natural History Collection","No","ASNHC","","","http://www.angelo.edu/dept/biology/asnhc/","","","","http://grbio.org/cool/wq4d-y5xx","Active","","University or college","Includes tens of thousands of specimens of all types of living organisms.","Department of Biology","Angelo State Natural History Collection","Angelo State University","San Angelo","TX","76909","USA","Department of Biology","Angelo State Natural History Collection","Angelo State University","San Angelo","TX","76909","USA","Dr. Loren Ammerman, Curator of Frozen Tissues","","","","","","",""
"http://grbio.org/institution/arachnology-division-sacred-heart-college","Arachnology Division, Sacred Heart College","No","ADSH","","","http://southindianspiders.org","","","","http://grbio.org/cool/7csr-pk9c","Active","","Museum","The Division of Arachnology was established in the year 1998 with the objective of conducting authentic studies on spiders of South India, especially in the state of Kerala. The division functions under the Department of Zoology of Sacred Heart College, Thevara, Cochin, Kerala, India. The following are the thrust areas of research--- Diversity of spider fauna in Kerala State, India; Spiders as biocontrol agents; Study of the feeding potential of spiders of paddy and vegetable agro-ecosystems and the effect of insecticides on spiders as part of integrated pest management; Behavioural study of jumping spiders of Kerala; Maintenance of reference collection of Kerala spiders.","Division of Arachnology, Dept. of Zoology","","","Thevara, Cochin","Kerala","682013","India","Division of Arachnology, Dept. of Zoology","Sacred Heart College","","Thevara, Cochin","Kerala","682013","India","Dr. P.A. Sebastian","","","","","","",""
"http://grbio.org/institution/arthropods-medical-importance-resource-bank","Arthropods of Medical Importance Resource Bank","No","AMIB","","","http://www.bugsworms.org","","","","http://grbio.org/cool/k7jz-3ed2","Active","","","The activity of the AMIB (Arthropods of Medical Importance Bank) is to collect, cultivate, and systematically manage various kinds of arthropods and to supply them to the research institutes/companies. The Bank promotes a development of biomedicine, applied science and technology which are related with arthropods of medical importance. We provide a lot of study materials derived from arthropods of medical importance, including mite, cockroach, mosquito, and midges. Not only dried or immersed specimen of these samples but also crude extract and recombinant proteins of several species are now being provided to various research oriented facilities mostly in Korea. The AMIB has been established in the Institute of Tropical Medicine, Yonsei University College of Medicine since 1999 to provide research materials and to procure information for the research scientists and industries.","Dept. of Environmental Medical Biology","Yonsei University - College of Medicine","","Seoul","Seoul","120-752","Korea","Dept. of Environmental Medical Biology","Yonsei University - College of Medicine","","Seoul","Seoul","120-752","Korea","Kyoung Yong Jeong","","","","","","",""
"http://grbio.org/institution/asenovgrad-museum","Asenovgrad Museum","No","AMB","","","http://www.nmnhs.com/palaeontological-museum-in-asenovgrad-en.html","","","","http://grbio.org/cool/rzgn-jz26","Active","","Museum","","","","","","","","","Badelema Quarter, 212 St","","","Asenovgrad","Plovdiv","4230","Bulgaria","Nikolai Spassov","","","","","","",""
