"id"	"name"	"country"	"state"	"city"	"address"	"longitude"	"latitude"	"source"	"type"	"long.qry"	"lat.qry"	"address.qry"
"4813"	NA	"The Manx Museum"	"Isle of Man"	""	"Douglas IM1 3LY"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4814"	NA	"Daegu University"	"South Korea"	""	"Gyungsan, Gyungbuk"	"15 Naeri-ri, Jillyang  "	NA	NA	"grbioorg"	"biodiversityinstitution"	128.601445	35.8714354	"Daegu, South Korea"
"4815"	NA	"Hobart and William Smith Colleges"	"USA"	"New York"	"Geneva"	"Eaton Hall.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-95.712891	37.09024	"United States"
"4816"	NA	"University of Louisville"	"USA"	"Kentucky"	"Louisville"	"Belknap Campus.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-85.7626595	38.2189292	"Louisville Hall, 318 W Brandeis Ave, Louisville, KY 40208, USA"
"4817"	NA	"University of Durham"	"United Kingdom"	"England"	"Durham DH1 3LE"	"Science Site, South Road.  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-1.5749474	54.7623841	"Durham University Botanic Garden, South Rd, Durham DH1 3TN, UK"
"4818"	NA	"Dunbartonshire Natural History Society"	"United Kingdom"	"Scotland"	"Helensburgh G84 7DU"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4819"	NA	"Universite de Bourgogne"	"France"	""	"F-21078 Dijon Cedex"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	1.4336033	43.5968932	"Rue de Bourgogne, 31300 Toulouse, France"
"4820"	NA	"Museu do Dundo"	"Angola"	""	"Dundo"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4821"	NA	"Universidade Federal dos Vales do Jequitinhonha e Mucuri"	"Brazil"	"Minas Gerais"	"Diamantina"	"Campus JK, Rodovia MGT 367,km 583, n. 5000, Alto da Jacuba  "	NA	NA	"grbioorg"	"biodiversityinstitution"	-39.5499731	-18.0833977	"Mucuri, BA, Brazil"
"4822"	NA	"Delta Institute of Natural History"	"USA"	"Maine"	"Bowdoin"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
"4823"	NA	"Danish Arctic Station"	"Greenland"	""	"DK-3953 Qeqertarsuaq"	"  "	NA	NA	"grbioorg"	"biodiversityinstitution"	NA	NA	NA
