identifier	XCOOR	YCOOR
Cheirogaleus major	47.41047	-21.2649
Cheirogaleus major	49.092	-18.048
Cheirogaleus major	48.467	-18.702
Cheirogaleus major	48.427	-18.792
Cheirogaleus major	48.813	-18.695
Cheirogaleus major	48.578	-18.198
Cheirogaleus medius	46.793	-16.338
Cheirogaleus medius	46.793	-16.338
Cheirogaleus medius	47.143	-16.229
Cheirogaleus medius	47.143	-16.229
Cheirogaleus medius	46.963	-16.227
Cheirogaleus medius	46.963	-16.227
Cheirogaleus major	48.7432	-19.48033
Cheirogaleus major	47	-24.40003
Cheirogaleus major	47	-24.40003
Cheirogaleus major	49.584	-15.03528
Cheirogaleus major	49.6143	-15.1882
Cheirogaleus major	48.41667	-18.93333
Microcebus lehilahytsara	48.48319	-18.98437
Microcebus griseorufus	46.12747	-24.81635
Microcebus ravelobensis	46.85584	-16.25216
Microcebus murinus	43.61778	-23.12268
Microcebus rufus	47.35477	-21.28791
Microcebus rufus	47.45	-21.35
Microcebus rufus	49.092	-18.048
Microcebus rufus	48.467	-18.702
Microcebus rufus	48.427	-18.792
Microcebus rufus	48.578	-18.198
Microcebus rufus	48.813	-18.695
Microcebus murinus	47.143	-16.229
Microcebus murinus	46.793	-16.338
Microcebus murinus	46.793	-16.338
Microcebus murinus	46.963	-16.227
Microcebus murinus	47.143	-16.229
Microcebus murinus	47.143	-16.229
Microcebus murinus	46.793	-16.338
Microcebus murinus	46.963	-16.227
Microcebus murinus	48.7432	-19.48033
Microcebus rufus	47	-24.40003
Microcebus rufus	47	-24.40003
Microcebus rufus	47	-24.40003
Microcebus murinus	47	-24.40003
Microcebus murinus	48.41667	-18.93333
Microcebus rufus	48.9	-18.0833
Microcebus murinus	48.41667	-18.93333
Microcebus rufus	48.9	-18.0833
Microcebus murinus	49	-14
Phaner furcifer	46.55	-24.81667
Phaner furcifer	49.16667	-12.66667
Phaner furcifer	49.1	-12.91667
Phaner furcifer	49.16667	-12.66667
Daubentonia madagascariensis	49.092	-18.048
Avahi occidentalis	46.82786	-16.32852
Avahi laniger	48.79228	-18.89714
Avahi laniger	48.427	-18.792
Avahi laniger	48.467	-18.702
Avahi laniger	48.578	-18.198
Avahi laniger	48.813	-18.695
Avahi occidentalis	47.143	-16.229
Avahi occidentalis	46.963	-16.227
Avahi occidentalis	46.793	-16.338
Avahi occidentalis	46.963	-16.227
Avahi occidentalis	46.793	-16.338
Avahi laniger	47.46667	-21.26667
Avahi laniger	49.6143	-15.1882
Avahi laniger	49.43588	-15.40098
Avahi laniger	49.584	-15.03528
Avahi laniger	49.52945	-15.22608
