"identifier"	"homepolygon"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Microcebus griseorufus"	"Shrublands"
"Microcebus ravelobensis"	"Dry Forest"
"Microcebus murinus"	"Shrublands"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus murinus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Phaner furcifer"	"Shrublands"
"Phaner furcifer"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi laniger"	"Moist Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Propithecus candidus"	"Moist Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus verreauxi"	"Moist Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus tattersalli"	NA
"Propithecus coquereli"	"Dry Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus verreauxi"	"Shrublands"
"Propithecus verreauxi"	"Shrublands"
"Propithecus verreauxi"	"Shrublands"
"Propithecus deckenii"	"Dry Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus verreauxi"	"Shrublands"
"Propithecus coronatus"	"Dry Forest"
"Propithecus deckenii"	"Shrublands"
"Propithecus diadema"	"Moist Forest"
"Eulemur mongoz"	"Dry Forest"
"Eulemur collaris"	"Moist Forest"
"Eulemur mongoz"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur coronatus"	"Dry Forest"
"Eulemur albifrons"	"Moist Forest"
"Eulemur coronatus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur mongoz"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur mongoz"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur coronatus"	NA
"Eulemur coronatus"	NA
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur mongoz"	NA
"Eulemur fulvus"	"Moist Forest"
"Eulemur albifrons"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur albifrons"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Hapalemur griseus"	"Moist Forest"
"Hapalemur simus"	"Moist Forest"
