"identifier"	"Dry Forest"	"Moist Forest"
"Avahi laniger"	0	1
"Avahi occidentalis"	0	0
"Cheirogaleus major"	0	2
"Cheirogaleus medius"	0	0
"Daubentonia madagascariensis"	0	0
"Eulemur albifrons"	0	0
"Eulemur collaris"	0	0
"Eulemur coronatus"	2	0
"Eulemur fulvus"	0	1
"Eulemur mongoz"	0	0
"Eulemur rubriventer"	0	7
"Eulemur rufifrons"	0	0
"Eulemur rufus"	0	14
"Eulemur sanfordi"	0	0
"Hapalemur aureus"	0	3
"Hapalemur griseus"	0	10
"Hapalemur simus"	0	5
"Indri indri"	0	30
"Lemur catta"	0	7
"Lepilemur edwardsi"	0	0
"Lepilemur microdon"	0	1
"Lepilemur mustelinus"	0	1
"Lepilemur septentrionalis"	0	0
"Microcebus griseorufus"	0	0
"Microcebus lehilahytsara"	0	1
"Microcebus murinus"	0	0
"Microcebus ravelobensis"	0	0
"Microcebus rufus"	0	3
"Phaner furcifer"	2	0
"Propithecus candidus"	0	0
"Propithecus coquereli"	0	0
"Propithecus coronatus"	0	0
"Propithecus deckenii"	0	0
"Propithecus diadema"	0	8
"Propithecus edwardsi"	0	5
"Propithecus tattersalli"	0	0
"Propithecus verreauxi"	0	2
"Varecia rubra"	0	0
"Varecia variegata"	0	15
