"identifier"	"Moist Forest"
"Avahi laniger"	0
"Avahi occidentalis"	0
"Cheirogaleus major"	0
"Cheirogaleus medius"	0
"Daubentonia madagascariensis"	0
"Eulemur albifrons"	0
"Eulemur collaris"	0
"Eulemur coronatus"	0
"Eulemur fulvus"	0
"Eulemur mongoz"	0
"Eulemur rubriventer"	0
"Eulemur rufifrons"	0
"Eulemur rufus"	0
"Eulemur sanfordi"	0
"Hapalemur aureus"	0
"Hapalemur griseus"	0
"Hapalemur simus"	0
"Indri indri"	0
"Lemur catta"	0
"Lepilemur edwardsi"	0
"Lepilemur microdon"	0
"Lepilemur mustelinus"	0
"Lepilemur septentrionalis"	0
"Microcebus griseorufus"	0
"Microcebus lehilahytsara"	0
"Microcebus murinus"	1
"Microcebus ravelobensis"	0
"Microcebus rufus"	0
"Phaner furcifer"	0
"Propithecus candidus"	0
"Propithecus coquereli"	0
"Propithecus coronatus"	0
"Propithecus deckenii"	0
"Propithecus diadema"	4
"Propithecus edwardsi"	0
"Propithecus tattersalli"	0
"Propithecus verreauxi"	0
"Varecia rubra"	0
"Varecia variegata"	0
