"identifier"	"homepolygon"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus medius"	"Dry Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Cheirogaleus major"	"Moist Forest"
"Microcebus lehilahytsara"	"Moist Forest"
"Microcebus griseorufus"	"Shrublands"
"Microcebus ravelobensis"	"Dry Forest"
"Microcebus murinus"	"Shrublands"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Dry Forest"
"Microcebus murinus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus murinus"	"Moist Forest"
"Microcebus murinus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus murinus"	"Moist Forest"
"Microcebus rufus"	"Moist Forest"
"Microcebus murinus"	"Moist Forest"
"Phaner furcifer"	"Shrublands"
"Phaner furcifer"	"Dry Forest"
"Phaner furcifer"	"Dry Forest"
"Phaner furcifer"	"Dry Forest"
"Daubentonia madagascariensis"	"Moist Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi occidentalis"	"Dry Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Avahi laniger"	"Moist Forest"
"Daubentonia madagascariensis"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Indri indri"	"Moist Forest"
"Daubentonia madagascariensis"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus candidus"	"Moist Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus verreauxi"	"Moist Forest"
"Propithecus candidus"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus coquereli"	"Dry Forest"
"Propithecus tattersalli"	NA
"Propithecus coquereli"	"Dry Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus verreauxi"	"Shrublands"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus deckenii"	"Dry Forest"
"Propithecus edwardsi"	"Moist Forest"
"Propithecus verreauxi"	"Dry Forest"
"Propithecus verreauxi"	"Shrublands"
"Propithecus verreauxi"	"Shrublands"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus verreauxi"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus verreauxi"	"Moist Forest"
"Propithecus coronatus"	"Dry Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Propithecus deckenii"	"Shrublands"
"Propithecus diadema"	"Moist Forest"
"Propithecus diadema"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur mongoz"	"Dry Forest"
"Eulemur collaris"	"Moist Forest"
"Eulemur mongoz"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur sanfordi"	"Dry Forest"
"Eulemur coronatus"	"Dry Forest"
"Eulemur rufifrons"	"Shrublands"
"Eulemur rufifrons"	"Shrublands"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur albifrons"	"Moist Forest"
"Eulemur coronatus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufifrons"	"Shrublands"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur rufus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur rubriventer"	"Moist Forest"
"Eulemur fulvus"	"Moist Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur mongoz"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur mongoz"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur fulvus"	"Dry Forest"
"Eulemur coronatus"	"Dry Forest"
"Eulemur coronatus"	"Dry Forest"
"Eulemur coronatus"	NA
"Eulemur coronatus"	NA
